D:\data\IMG\center_2022_10_15_22_50_54_548.jpg, D:\data\IMG\left_2022_10_15_22_50_54_548.jpg, D:\data\IMG\right_2022_10_15_22_50_54_548.jpg, 0, 0, 0, 8.187333E-05
D:\data\IMG\center_2022_10_15_22_50_54_649.jpg, D:\data\IMG\left_2022_10_15_22_50_54_649.jpg, D:\data\IMG\right_2022_10_15_22_50_54_649.jpg, 0, 0, 0, 7.812017E-05
D:\data\IMG\center_2022_10_15_22_50_54_750.jpg, D:\data\IMG\left_2022_10_15_22_50_54_750.jpg, D:\data\IMG\right_2022_10_15_22_50_54_750.jpg, 0, 0, 0, 7.820068E-05
D:\data\IMG\center_2022_10_15_22_50_54_854.jpg, D:\data\IMG\left_2022_10_15_22_50_54_854.jpg, D:\data\IMG\right_2022_10_15_22_50_54_854.jpg, 0, 0, 0, 7.794311E-05
D:\data\IMG\center_2022_10_15_22_50_54_954.jpg, D:\data\IMG\left_2022_10_15_22_50_54_954.jpg, D:\data\IMG\right_2022_10_15_22_50_54_954.jpg, 0, 0, 0, 7.820137E-05
D:\data\IMG\center_2022_10_15_22_50_55_055.jpg, D:\data\IMG\left_2022_10_15_22_50_55_055.jpg, D:\data\IMG\right_2022_10_15_22_50_55_055.jpg, 0, 0, 0, 7.773677E-05
D:\data\IMG\center_2022_10_15_22_50_55_158.jpg, D:\data\IMG\left_2022_10_15_22_50_55_158.jpg, D:\data\IMG\right_2022_10_15_22_50_55_158.jpg, 0, 0, 0, 7.86287E-05
D:\data\IMG\center_2022_10_15_22_50_55_260.jpg, D:\data\IMG\left_2022_10_15_22_50_55_260.jpg, D:\data\IMG\right_2022_10_15_22_50_55_260.jpg, 0, 0, 0, 7.896664E-05
D:\data\IMG\center_2022_10_15_22_50_55_361.jpg, D:\data\IMG\left_2022_10_15_22_50_55_361.jpg, D:\data\IMG\right_2022_10_15_22_50_55_361.jpg, 0, 0, 0, 7.802207E-05
D:\data\IMG\center_2022_10_15_22_50_55_463.jpg, D:\data\IMG\left_2022_10_15_22_50_55_463.jpg, D:\data\IMG\right_2022_10_15_22_50_55_463.jpg, 0, 0, 0, 7.844415E-05
D:\data\IMG\center_2022_10_15_22_50_55_565.jpg, D:\data\IMG\left_2022_10_15_22_50_55_565.jpg, D:\data\IMG\right_2022_10_15_22_50_55_565.jpg, 0, 0.2390145, 0, 0.1565742
D:\data\IMG\center_2022_10_15_22_50_55_666.jpg, D:\data\IMG\left_2022_10_15_22_50_55_666.jpg, D:\data\IMG\right_2022_10_15_22_50_55_666.jpg, 0, 0.5350668, 0, 0.5697341
D:\data\IMG\center_2022_10_15_22_50_55_767.jpg, D:\data\IMG\left_2022_10_15_22_50_55_767.jpg, D:\data\IMG\right_2022_10_15_22_50_55_767.jpg, -0.119994, 0.8376446, 0, 1.453532
D:\data\IMG\center_2022_10_15_22_50_55_867.jpg, D:\data\IMG\left_2022_10_15_22_50_55_867.jpg, D:\data\IMG\right_2022_10_15_22_50_55_867.jpg, -0.4208843, 1, 0, 2.628062
D:\data\IMG\center_2022_10_15_22_50_55_967.jpg, D:\data\IMG\left_2022_10_15_22_50_55_967.jpg, D:\data\IMG\right_2022_10_15_22_50_55_967.jpg, -0.2329556, 1, 0, 3.798527
D:\data\IMG\center_2022_10_15_22_50_56_068.jpg, D:\data\IMG\left_2022_10_15_22_50_56_068.jpg, D:\data\IMG\right_2022_10_15_22_50_56_068.jpg, -0.0601473, 1, 0, 4.965409
D:\data\IMG\center_2022_10_15_22_50_56_168.jpg, D:\data\IMG\left_2022_10_15_22_50_56_168.jpg, D:\data\IMG\right_2022_10_15_22_50_56_168.jpg, -0.311346, 1, 0, 6.105073
D:\data\IMG\center_2022_10_15_22_50_56_268.jpg, D:\data\IMG\left_2022_10_15_22_50_56_268.jpg, D:\data\IMG\right_2022_10_15_22_50_56_268.jpg, -0.0183561, 1, 0, 7.248677
D:\data\IMG\center_2022_10_15_22_50_56_370.jpg, D:\data\IMG\left_2022_10_15_22_50_56_370.jpg, D:\data\IMG\right_2022_10_15_22_50_56_370.jpg, -0.0996201, 1, 0, 8.379695
D:\data\IMG\center_2022_10_15_22_50_56_472.jpg, D:\data\IMG\left_2022_10_15_22_50_56_472.jpg, D:\data\IMG\right_2022_10_15_22_50_56_472.jpg, -0.3281101, 1, 0, 9.47016
D:\data\IMG\center_2022_10_15_22_50_56_575.jpg, D:\data\IMG\left_2022_10_15_22_50_56_575.jpg, D:\data\IMG\right_2022_10_15_22_50_56_575.jpg, -0.02833717, 1, 0, 10.58053
D:\data\IMG\center_2022_10_15_22_50_56_675.jpg, D:\data\IMG\left_2022_10_15_22_50_56_675.jpg, D:\data\IMG\right_2022_10_15_22_50_56_675.jpg, 0, 1, 0, 11.51079
D:\data\IMG\center_2022_10_15_22_50_56_776.jpg, D:\data\IMG\left_2022_10_15_22_50_56_776.jpg, D:\data\IMG\right_2022_10_15_22_50_56_776.jpg, -0.0671865, 1, 0, 12.73794
D:\data\IMG\center_2022_10_15_22_50_56_878.jpg, D:\data\IMG\left_2022_10_15_22_50_56_878.jpg, D:\data\IMG\right_2022_10_15_22_50_56_878.jpg, -0.3717628, 1, 0, 13.75066
D:\data\IMG\center_2022_10_15_22_50_56_979.jpg, D:\data\IMG\left_2022_10_15_22_50_56_979.jpg, D:\data\IMG\right_2022_10_15_22_50_56_979.jpg, -0.3275254, 1, 0, 14.81078
D:\data\IMG\center_2022_10_15_22_50_57_080.jpg, D:\data\IMG\left_2022_10_15_22_50_57_080.jpg, D:\data\IMG\right_2022_10_15_22_50_57_080.jpg, -0.03149593, 1, 0, 15.81692
D:\data\IMG\center_2022_10_15_22_50_57_180.jpg, D:\data\IMG\left_2022_10_15_22_50_57_180.jpg, D:\data\IMG\right_2022_10_15_22_50_57_180.jpg, 0, 1, 0, 16.92024
D:\data\IMG\center_2022_10_15_22_50_57_281.jpg, D:\data\IMG\left_2022_10_15_22_50_57_281.jpg, D:\data\IMG\right_2022_10_15_22_50_57_281.jpg, 0, 1, 0, 17.93256
D:\data\IMG\center_2022_10_15_22_50_57_382.jpg, D:\data\IMG\left_2022_10_15_22_50_57_382.jpg, D:\data\IMG\right_2022_10_15_22_50_57_382.jpg, -0.2964207, 1, 0, 18.94611
D:\data\IMG\center_2022_10_15_22_50_57_484.jpg, D:\data\IMG\left_2022_10_15_22_50_57_484.jpg, D:\data\IMG\right_2022_10_15_22_50_57_484.jpg, -0.1752768, 1, 0, 20.09639
D:\data\IMG\center_2022_10_15_22_50_57_586.jpg, D:\data\IMG\left_2022_10_15_22_50_57_586.jpg, D:\data\IMG\right_2022_10_15_22_50_57_586.jpg, -0.07890809, 1, 0, 21.11271
D:\data\IMG\center_2022_10_15_22_50_57_688.jpg, D:\data\IMG\left_2022_10_15_22_50_57_688.jpg, D:\data\IMG\right_2022_10_15_22_50_57_688.jpg, -0.3850944, 1, 0, 22.04287
D:\data\IMG\center_2022_10_15_22_50_57_789.jpg, D:\data\IMG\left_2022_10_15_22_50_57_789.jpg, D:\data\IMG\right_2022_10_15_22_50_57_789.jpg, -0.3227451, 1, 0, 22.95697
D:\data\IMG\center_2022_10_15_22_50_57_891.jpg, D:\data\IMG\left_2022_10_15_22_50_57_891.jpg, D:\data\IMG\right_2022_10_15_22_50_57_891.jpg, -0.4035987, 1, 0, 23.91821
D:\data\IMG\center_2022_10_15_22_50_57_993.jpg, D:\data\IMG\left_2022_10_15_22_50_57_993.jpg, D:\data\IMG\right_2022_10_15_22_50_57_993.jpg, -0.5379001, 1, 0, 24.76031
D:\data\IMG\center_2022_10_15_22_50_58_095.jpg, D:\data\IMG\left_2022_10_15_22_50_58_095.jpg, D:\data\IMG\right_2022_10_15_22_50_58_095.jpg, -0.2338582, 1, 0, 25.72753
D:\data\IMG\center_2022_10_15_22_50_58_195.jpg, D:\data\IMG\left_2022_10_15_22_50_58_195.jpg, D:\data\IMG\right_2022_10_15_22_50_58_195.jpg, -0.4121755, 1, 0, 26.6633
D:\data\IMG\center_2022_10_15_22_50_58_297.jpg, D:\data\IMG\left_2022_10_15_22_50_58_297.jpg, D:\data\IMG\right_2022_10_15_22_50_58_297.jpg, -0.1048889, 1, 0, 27.61632
D:\data\IMG\center_2022_10_15_22_50_58_399.jpg, D:\data\IMG\left_2022_10_15_22_50_58_399.jpg, D:\data\IMG\right_2022_10_15_22_50_58_399.jpg, 0, 1, 0, 28.5305
D:\data\IMG\center_2022_10_15_22_50_58_499.jpg, D:\data\IMG\left_2022_10_15_22_50_58_499.jpg, D:\data\IMG\right_2022_10_15_22_50_58_499.jpg, 0, 1, 0, 29.44921
D:\data\IMG\center_2022_10_15_22_50_58_602.jpg, D:\data\IMG\left_2022_10_15_22_50_58_602.jpg, D:\data\IMG\right_2022_10_15_22_50_58_602.jpg, 0.009687, 1, 0, 30.19059
